Код компонента;Тип компонента;Сухой остаток;Удельный вес;
AC200;Отвердитель;42,3;1;
AC40;Отвердитель;30;0,97;
AC41;Отвердитель;30;0,96;
C20045;Отвердитель;35,4;0,98;
C20051;Отвердитель;34,7;0,99;
C40970;Отвердитель;28,9;0,936;
EA1;Ускоритель;10,5;0,907;
EC1;Отвердитель;99;1,18;
EC2;Отвердитель;97;1;
PC10;Отвердитель;22,8;0,95;
PC10100;Отвердитель;22,8;0,95;
PC20;Отвердитель;27,3;0,98;
PC20040;Отвердитель;35,1;0,993;
PC20042;Отвердитель;35;0,98;
PC20053;Отвердитель;43,5;0,99;
PC20111;Отвердитель;36,1;1;
PC210;Отвердитель;36,6;0,99;
PC25;Отвердитель;27,9;0,99;
PC60;Отвердитель;27,9;0,98;
PC72;Отвердитель;37,5;0,99;
PC90;Отвердитель;41,6;1,04;
