Название продукта;Часть B (Отвердитель);Мин. процент отвердителя;Макс. процент отвердителя;Разбавитель;Мин. процент разбавителя;Макс. процент разбавителя;Ускоритель;Мин. процент ускорителя;Макс. процент ускорителя
APL1 M;AC40;10;20;S50;30;40;-;0;0
APL1 UM;AC40;10;20;S50 / S80;30;40;-;0;0
APL20 M;AC40;10;20;S50 / S80;30;40;-;0;0
APL20 SM;AC40;10;20;S50 / S80;30;40;-;0;0
APL20 UM;AC40;20;20;S50;20;30;-;0;0
APL50 M;AC40;10;20;S50 / S80;30;40;-;0;0
APL50 M;AC41;10;20;S50 / S80;30;40;-;0;0
APL50 SM;AC40;10;20;S50 / S80;30;40;-;0;0
APL50 SM;AC41;10;20;S50 / S80;30;40;-;0;0
APL50 UM;AC40;10;20;S50 / S80;30;40;-;0;0
APL50 UM;AC41;10;20;S50 / S80;30;40;-;0;0
APL60181 M;AC40;40;40;S50;20;30;-;0;0
APL60181 SM;AC40;40;40;S50;20;30;-;0;0
APS20;AC40;20;20;S50;20;30;-;0;0
ATL1 M;AC40;10;20;S50 / S80;30;40;-;0;0
ATL1 UM;AC40;20;20;S50 / S80;30;40;-;0;0
ATL10 M;AC40;10;20;S50;20;30;-;0;0
ATL2;AC40;20;20;S50 / S80;20;30;-;0;0
ATL20 M;AC40;10;20;S50 / S80;30;40;-;0;0
ATL20 M;AC41;10;20;S50 / S80;30;40;-;0;0
ATL20 SG;AC40;10;20;S50 / S80;30;40;-;0;0
ATL20 SM;AC40;10;20;S50 / S80;30;40;-;0;0
ATL20 UM;AC40;10;20;S50 / S80;30;40;-;0;0
ATL200;AC200;50;70;S70 / S80;20;30;-;0;0
ATL20118;AC40;25;25;S50;30;30;-;0;0
ATL203;AC200;70;70;S70 / S80;10;20;-;0;0
ATL21115;-;0;0;S15;0;10;-;0;0
ATL21226;AC41;50;50;S80;0;10;-;0;0
ATL50 DM;AC40;10;20;S50;20;30;-;0;0
ATL50 G;AC40;10;20;S50 / S80;30;40;-;0;0
ATL50 M;AC40;10;20;S50 / S80;30;40;-;0;0
ATL50 SG;AC40;10;20;S50 / S80;30;40;-;0;0
ATL50 SM;AC40;10;20;S50 / S80;30;40;-;0;0
ATL50 UM;AC40;10;20;S50 / S80;30;40;-;0;0
ATL500;AC200;70;70;S70;20;30;-;0;0
ATL503;AC200;70;100;S70 / S80;0;20;-;0;0
ATL60004 G;AC40;40;40;S50;20;30;-;0;0
ATL60004 SM;AC40;40;40;S50;20;30;-;0;0
ATL60180 M;AC40;40;40;S50;20;30;-;0;0
ATL60180 SM;AC40;40;40;S50;20;30;-;0;0
ATL90 DM;AC41;10;20;S50 / S70 / S80;20;30;-;0;0
ATL90 DM;AC40;10;20;S50 / S70 / S80;20;30;-;0;0
ATL90 G;AC40;10;20;S70 / S80;20;30;-;0;0
ATL90 G;AC41;10;20;S70 / S80;20;30;-;0;0
ATL90 M;AC40;10;20;S50 / S70 / S80;20;30;-;0;0
ATL90 M;AC41;10;20;S50 / S70 / S80;20;30;-;0;0
ATL90 SG;AC40;10;20;S70 / S80;20;30;-;0;0
ATL90 SG;AC41;10;20;S70 / S80;20;30;-;0;0
ATL90 SM;AC40;10;20;S70 / S80;20;30;-;0;0
ATL90 SM;AC41;10;20;S70 / S80;20;30;-;0;0
ATL90 UM;AC40;10;20;S50 / S70 / S80;20;30;-;0;0
ATL90 UM;AC41;10;20;S50 / S70 / S80;20;30;-;0;0
