Имя файла;Дата составления;Название продукта;Удельный вес;Сухой остаток части А
APL1 M.pdf;20.01.2026;APL1 M;1,19;50
APL1 UM.pdf;20.01.2026;APL1 UM;1,20;51
APL20 M.pdf;19.01.2026;APL20 M;1,19;49
APL20 SM.pdf;19.01.2026;APL20 SM;1,18;48
APL20 UM.pdf;19.01.2026;APL20 UM;1,21;50
APL50 M.pdf;19.01.2026;APL50 M;1,19;50
APL50 SM.pdf;19.01.2026;APL50 SM;1,18;49
APL50 UM.pdf;19.01.2026;APL50 UM;1,19;50
APL60181 M.pdf;20.01.2026;APL60181 M;1,20;55
APL60181 SM.pdf;20.01.2026;APL60181 SM;1,20;55
APS20.pdf;07.03.2026;APS20;1,33;60
ATL1 M.pdf;20.01.2026;ATL1 M;0,96;50
ATL1 UM.pdf;16.02.2026;ATL1 UM;1,06;45
ATL10 M.pdf;16.02.2026;ATL10 M;0,95;29
ATL2.pdf;20.01.2026;ATL2;0,95;29
ATL20 M.pdf;19.01.2026;ATL20 M;0,92;23
ATL20 SG.pdf;19.01.2026;ATL20 SG;0,95;28
ATL20 SM.pdf;19.01.2026;ATL20 SM;0,96;29
ATL20 UM.pdf;19.01.2026;ATL20 UM;0,93;24
ATL200.pdf;19.01.2026;ATL200;0,97;45
ATL20118.pdf;16.02.2026;ATL20118;0,91;16
ATL203.pdf;19.01.2026;ATL203;0,97;48
ATL21115.pdf;20.01.2026;ATL21115;0,90;18
ATL21226.pdf;19.01.2026;ATL21226;0,97;45
ATL50 DM.pdf;16.02.2026;ATL50 DM;0,94;26
ATL50 G.pdf;19.01.2026;ATL50 G;0,95;28
ATL50 M.pdf;19.01.2026;ATL50 M;0,96;31
ATL50 SG.pdf;19.01.2026;ATL50 SG;0,95;29
ATL50 SM.pdf;19.01.2026;ATL50 SM;0,95;29
ATL50 UM.pdf;19.01.2026;ATL50 UM;0,95;28
ATL500.pdf;19.01.2026;ATL500;0,99;48
ATL503.pdf;19.01.2026;ATL503;0,99;56
ATL60004 G.pdf;20.01.2026;ATL60004 G;0,98;38
ATL60004 SM.pdf;20.01.2026;ATL60004 SM;1,00;41
ATL60180 M.pdf;20.01.2026;ATL60180 M;1,02;43
ATL60180 SM.pdf;20.01.2026;ATL60180 SM;1,02;43
ATL90 DM.pdf;19.01.2026;ATL90 DM;0,96;29
ATL90 G.pdf;19.01.2026;ATL90 G;0,94;28
ATL90 M.pdf;19.01.2026;ATL90 M;0,95;29
ATL90 SG.pdf;19.01.2026;ATL90 SG;0,94;27
ATL90 SM.pdf;19.01.2026;ATL90 SM;0,94;28
ATL90 UM.pdf;19.01.2026;ATL90 UM;0,95;28
ATS20.pdf;21.04.2026;ATS20;0,96;30
ATS60003.pdf;02.03.2026;ATS60003;0,98;37
EPS20.pdf;20.01.2026;EPS20;1,39;93
EPS22.pdf;12.03.2026;EPS22;1,48;96
ETL200.pdf;20.01.2026;ETL200;1,06;99
ETS20.pdf;20.01.2026;ETS20;1,10;96
HPL1 M.pdf;12.03.2026;HPL1 M;1,12;41
HPL1 UM.pdf;12.03.2026;HPL1 UM;1,13;39
HPL20 SM.pdf;12.03.2026;HPL20 SM;1,12;41
HPL60 SM.pdf;20.01.2026;HPL60 SM;1,20;49
HPS10.pdf;12.03.2026;HPS10;1,34;56
HPS20.pdf;12.03.2026;HPS20;1,28;52
HPS50.pdf;12.03.2026;HPS50;1,44;61
HTL1 M.pdf;12.03.2026;HTL1 M;1,03;32
HTL1 UM.pdf;12.03.2026;HTL1 UM;1,04;38
HTL20 G.pdf;12.03.2026;HTL20 G;1,02;31
HTL20 SM.pdf;02.03.2026;HTL20 SM;1,03;34
HTL20030.pdf;12.03.2026;HTL20030;1,03;32
HTL60 SM.pdf;12.03.2026;HTL60 SM;1,03;36
HTL61 SM.pdf;12.03.2026;HTL61 SM;1,00;44
HTL90020.pdf;02.03.2026;HTL90020;1,00;31
HTS30.pdf;12.03.2026;HTS30;1,03;37
NTL20 SM.pdf;12.03.2026;NTL20 SM;0,91;19
NTS10.pdf;13.02.2026;NTS10;0,97;26
OTL10.pdf;30.06.2026;OTL10;1,01;33
OTL20.pdf;18.06.2026;OTL20;0,90;43
OTL40.pdf;18.06.2026;OTL40;0,94;99
OTL60.10.pdf;17.06.2026;OTL60;0,99;42
OTL60.11.pdf;17.06.2026;OTL60;0,98;42
OTL60.12.pdf;17.06.2026;OTL60;0,98;42
OTL60.13.pdf;17.06.2026;OTL60;1,00;42
OTL60.14.pdf;17.06.2026;OTL60;0,98;42
OTL60.15.pdf;17.06.2026;OTL60;0,98;42
OTL60.16.pdf;17.06.2026;OTL60;0,98;42
OTL60.17.pdf;17.06.2026;OTL60;0,98;42
OTL60.18.pdf;17.06.2026;OTL60;0,99;42
OTL60.19.pdf;17.06.2026;OTL60;0,99;42
OTL60.20.pdf;17.06.2026;OTL60;0,98;42
OTL60.pdf;17.06.2026;OTL60;0,97;42
OTL90.10.pdf;18.06.2026;OTL90;0,93;45
OTL90.pdf;18.06.2026;OTL90;0,91;46
PPL01.pdf;20.01.2026;PPL01;1,39;67
PPL1 M.pdf;20.01.2026;PPL1 M;1,34;65
PPL10 M.pdf;20.01.2026;PPL10 M;1,33;66
PPL100.pdf;20.01.2026;PPL100;1,32;67
PPL10022.pdf;20.01.2026;PPL10022;1,33;66
PPL20 DM.pdf;20.01.2026;PPL20 DM;1,48;71
PPL20 G.pdf;20.01.2026;PPL20 G;1,31;65
PPL20 M.pdf;20.01.2026;PPL20 M;1,48;66
PPL20 SM.pdf;20.01.2026;PPL20 SM;1,37;65
PPL20 UM.pdf;20.01.2026;PPL20 UM;1,43;69
PPL200.pdf;20.01.2026;PPL200;1,41;71
PPL30 DM.pdf;10.02.2026;PPL30 DM;1,27;60
PPL50 G.pdf;20.01.2026;PPL50 G;1,32;63
PPL50 M.pdf;20.01.2026;PPL50 M;1,32;65
PPL50 SG.pdf;20.01.2026;PPL50 SG;1,30;64
PPL50 SM.pdf;20.01.2026;PPL50 SM;1,31;65
PPL500.pdf;20.01.2026;PPL500;1,32;66
PPS10.pdf;20.01.2026;PPS10;1,51;75
PPS20.pdf;20.01.2026;PPS20;1,40;72
PPS40.pdf;20.01.2026;PPS40;1,59;79
PPS40042.pdf;20.01.2026;PPS40042;1,49;73
PPS40043.pdf;20.01.2026;PPS40043;1,52;73
PPS40045.pdf;20.01.2026;PPS40045;1,50;73
PPS40074.pdf;12.03.2026;PPS40074;1,52;73
PPS40091.pdf;20.01.2026;PPS40091;1,43;72
PPS40720.pdf;05.03.2026;PPS40720;1,63;77
PPS50.pdf;20.01.2026;PPS50;1,45;72
PPS50277.pdf;20.01.2026;PPS50277;1,52;73
PTL01.pdf;20.01.2026;PTL01;1,01;50
PTL1 DM.pdf;20.01.2026;PTL1 DM;1,00;52
PTL1 M.pdf;20.01.2026;PTL1 M;1,00;51
PTL1 UM.pdf;20.01.2026;PTL1 UM;1,00;49
PTL10 G.pdf;10.03.2026;PTL10 G;0,97;43
PTL10 M.pdf;20.01.2026;PTL10 M;0,98;43
PTL10 SG.pdf;20.01.2026;PTL10 SG;0,97;42
PTL10 SM.pdf;20.01.2026;PTL10 SM;0,98;43
PTL10 UM.pdf;20.01.2026;PTL10 UM;0,99;44
PTL100.pdf;20.01.2026;PTL100;1,04;54
PTL20 DM.pdf;20.01.2026;PTL20 DM;0,98;41
PTL20 M.pdf;20.01.2026;PTL20 M;0,98;43
PTL20 SM.pdf;29.01.2026;PTL20 SM;0,98;42
PTL20 UM.pdf;20.01.2026;PTL20 UM;0,98;40
PTL200 A.pdf;20.01.2026;PTL200 A;1,00;52
PTL200.pdf;20.01.2026;PTL200;0,99;55
PTL202.pdf;20.01.2026;PTL202;0,99;55
PTL207.pdf;20.01.2026;PTL207;1,00;44
PTL30 DM.pdf;20.01.2026;PTL30 DM;1,10;46
PTL50 G.pdf;20.01.2026;PTL50 G;0,98;44
PTL50 M.pdf;20.01.2026;PTL50 M;0,98;46
PTL50 SG.pdf;20.01.2026;PTL50 SG;0,98;45
PTL50 SM.pdf;20.01.2026;PTL50 SM;0,98;45
PTL50 UM.pdf;20.01.2026;PTL50 UM;0,98;43
PTL500.pdf;20.01.2026;PTL500;0,99;44
PTL50090.pdf;20.01.2026;PTL50090;0,98;45
PTL60 SM.pdf;20.01.2026;PTL60 SM;0,96;35
PTL80 M.pdf;20.01.2026;PTL80 M;1,00;40
PTL80 UM.pdf;20.01.2026;PTL80 UM;1,00;40
PTL90 SM.pdf;20.01.2026;PTL90 SM;0,99;46
PTL90 UM.pdf;20.01.2026;PTL90 UM;0,97;41
PTS01.pdf;13.03.2026;PTS01;1,05;47
PTS10.pdf;20.01.2026;PTS10;0,98;44
PTS20 B.pdf;20.01.2026;PTS20 B;0,98;45
PTS20.pdf;20.01.2026;PTS20;0,98;44
PTS20700.pdf;27.05.2026;PTS20700;1,13;57
PTS20701.pdf;12.03.2026;PTS20701;1,16;57
PTS21812.pdf;20.01.2026;PTS21812;1,47;74
PTS50 A.pdf;20.01.2026;PTS50 A;1,00;51
PTS50.pdf;20.01.2026;PTS50;0,98;45
PTS52.pdf;20.01.2026;PTS52;1,07;51
PTS60.pdf;20.01.2026;PTS60;0,98;50
PTS71.pdf;20.01.2026;PTS71;0,95;21
PTS72.pdf;13.03.2026;PTS72;0,99;40
PTS73.pdf;20.01.2026;PTS73;0,91;20
PTS90.pdf;20.01.2026;PTS90;0,98;48
VPL2 A.pdf;30.01.2026;VPL2 A;1,08;66
VPL2.pdf;30.01.2026;VPL2;1,04;48
VPL20010.pdf;25.03.2026;VPL20010;1,28;100
VPL20040.pdf;25.03.2026;VPL20040;1,11;100
VPL30010.pdf;30.01.2026;VPL30010;1,05;50
VPL30015.pdf;30.01.2026;VPL30015;1,02;37
VPL30100.pdf;30.01.2026;VPL30100;1,05;62
VPS20019.pdf;25.03.2026;VPS20019;1,47;99
VPS20028.pdf;25.03.2026;VPS20028;1,22;100
VPS60.pdf;30.01.2026;VPS60;1,40;92
VPS60009.pdf;30.01.2026;VPS60009;1,39;95
VPS60051.pdf;30.01.2026;VPS60051;1,40;92
VTL10001.pdf;25.03.2026;VTL10001;1,06;100
VTL20003.pdf;25.03.2026;VTL20003;1,04;100
VTL20010.pdf;25.03.2026;VTL20010;1,08;100
VTL20040.pdf;25.03.2026;VTL20040;1,00;100
VTL20091.pdf;25.03.2026;VTL20091;1,06;100
VTL20099.pdf;25.03.2026;VTL20099;1,03;100
VTL27305.pdf;25.03.2026;VTL27305;1,12;100
VTL27328.pdf;25.03.2026;VTL27328;1,15;100
VTL27475.pdf;25.03.2026;VTL27475;1,15;100
VTL30010.pdf;30.01.2026;VTL30010;0,95;46
VTL30091.pdf;30.01.2026;VTL30091;0,97;57
VTL30096.pdf;30.01.2026;VTL30096;0,97;64
VTL60093.pdf;30.01.2026;VTL60093;1,06;100
VTS20001.pdf;26.03.2026;VTS20001;1,02;100
VTS20002.pdf;13.03.2026;VTS20002;1,02;100
VTS20014.pdf;26.03.2026;VTS20014;1,07;100
VTS20029.pdf;26.03.2026;VTS20029;1,16;100
VTS20600.pdf;26.03.2026;VTS20600;1,24;100
VTS30006.pdf;30.01.2026;VTS30006;0,96;41
VTS40041.pdf;30.01.2026;VTS40041;1,09;100
VTS60019.pdf;30.01.2026;VTS60019;1,08;90
